frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,4.0,[2198.0 1045.0 2775.0 1732.0],[2416 1559 2581 1641],0.5623583793640137,NW51TSU,0.4180470914615204
2,4.0,[2196.9712904733315 1048.9973786070343 2773.911167657594 1751.0607582432528],[2414 1567 2581 1650],0.520747721195221,NU51VSU,0.3968526148452795
3,4.0,[2196.532525332843 1051.380258992634 2774.3775965058057 1757.887778539502],[2416 1570 2585 1653],0.5774151086807251,MU51VSU,0.1840019018577606
4,4.0,[2196.7304997631113 1053.1518906523856 2775.764460429165 1760.237923262754],[2415 1572 2586 1655],0.5973480343818665,HW51VSU,0.05906501979502666
5,1.0,[750.0100932126811 1389.7749725754156 1415.6038165700406 2006.2983590312133],[966 1801 1182 1892],0.4684959948062897,NA13NRU,0.38631361586889146
10,1.0,[732.8411453191907 1409.5436839856752 1406.449732147838 2045.5741735124689],[948 1844 1162 1932],0.5355100035667419,NA13MRU,0.16879633038689618
11,4.0,[2210.894882216985 1155.3058756037772 2774.5097672613474 1802.1233071712204],[2422 1616 2597 1699],0.5727842450141907,MV51VSU,0.6004285995304324
12,1.0,[728.5609561900117 1426.0806433465475 1402.4535760167462 2064.2662176245863],[954 1857 1157 1948],0.549765944480896,MA13NRU,0.38253670791165545
13,1.0,[723.8849281034078 1434.8719571233 1399.7295474464313 2072.160451638754],[965 1863 1152 1956],0.5532578229904175,MA13NRU,0.196086698292043
14,4.0,[2209.0641681940706 1172.5114168040504 2779.5694452410244 1815.8639646568445],[2430 1630 2602 1711],0.6333566904067993,AV51VSU,0.3184297265258473
15,1.0,[711.1746623484892 1449.0268842048445 1389.3586702348566 2083.2723973004236],[932 1885 1140 1975],0.519660472869873,NA13NRU,0.3312862271453209
17,1.0,[699.1069053443014 1456.941059632716 1379.904932874878 2086.375062410155],[929 1902 1138 1991],0.46726685762405396,NA13NRU,0.38585786629470675
18,1.0,[696.9579360337668 1459.6784536489913 1379.0059314713715 2078.637987358038],[916 1904 1137 1998],0.5494694113731384,NA13NRU,0.2767416554526793
