frame_nmr,vehicle_id,speed
4,1,73
4,2,42
4,3,40
4,4,10
4,5,65
4,6,14
4,7,90
4,8,28
4,9,93
4,10,1
4,11,15
4,13,36
5,1,73
5,2,42
5,3,41
5,4,11
5,5,65
5,6,14
5,7,90
5,8,28
5,9,94
5,10,1
5,11,15
5,13,36
6,1,73
6,2,42
6,3,41
6,4,11
6,5,65
6,6,14
6,7,90
6,8,28
6,9,94
6,10,1
6,11,15
6,13,36
7,1,73
7,2,42
7,3,42
7,4,11
7,5,65
7,6,13
7,7,90
7,8,27
7,9,95
7,10,1
7,11,15
7,13,36
8,1,73
8,2,41
8,3,42
8,4,12
8,5,65
8,6,13
8,7,90
8,8,27
8,9,95
8,10,1
8,11,14
8,13,36
8,15,26
9,1,73
9,2,41
9,3,42
9,4,13
9,5,64
9,6,13
9,7,90
9,8,27
9,9,95
9,10,1
9,11,14
9,13,35
9,15,26
9,16,73
10,1,73
10,2,41
10,3,43
10,4,13
10,5,64
10,6,12
10,7,90
10,8,27
10,9,95
10,10,1
10,11,14
10,13,35
10,16,73
11,1,73
11,2,41
11,3,44
11,4,14
11,5,64
11,6,12
11,7,90
11,8,27
11,9,96
11,10,2
11,11,14
11,13,35
11,16,73
12,1,73
12,2,40
12,3,44
12,4,14
12,5,63
12,6,12
12,7,90
12,8,27
12,10,2
12,11,14
12,13,35
12,16,72
12,18,72
13,1,73
13,2,40
13,3,45
13,4,15
13,5,63
13,6,11
13,7,89
13,8,27
13,10,2
13,11,14
13,13,35
13,16,72
13,18,72
14,1,72
14,2,40
14,3,45
14,4,15
14,5,63
14,6,11
14,7,89
14,8,27
14,10,2
14,11,14
14,13,34
14,16,71
15,1,73
15,2,40
15,3,46
15,4,16
15,5,63
15,6,11
15,7,89
15,8,26
15,10,2
15,11,14
15,13,34
15,16,70
15,22,87
16,1,73
16,2,39
16,3,46
16,4,16
16,5,62
16,6,11
16,7,89
16,8,26
16,10,2
16,11,14
16,13,34
16,16,69
16,22,86
17,1,72
17,2,39
17,3,47
17,4,17
17,5,62
17,6,11
17,7,89
17,8,26
17,10,2
17,11,14
17,13,33
17,16,68
17,22,86
17,23,46
18,1,72
18,2,39
18,3,48
18,4,17
18,5,62
18,6,10
18,7,89
18,8,26
18,10,2
18,11,13
18,13,33
18,16,68
18,22,86
18,23,46
19,1,72
19,2,39
19,3,48
19,4,18
19,5,61
19,6,10
19,7,89
19,8,26
19,10,2
19,11,13
19,13,33
19,16,69
19,22,86
19,23,46
20,1,72
20,2,38
20,3,49
20,4,18
20,5,60
20,6,10
20,7,89
20,8,26
20,10,2
20,11,13
20,13,33
20,16,69
20,22,86
20,23,46
21,1,72
21,2,38
21,3,50
21,4,19
21,5,60
21,6,9
21,7,89
21,8,26
21,10,3
21,11,13
21,13,32
21,16,68
21,22,86
21,23,46
22,1,72
22,2,38
22,3,50
22,4,20
22,5,60
22,6,9
22,7,89
22,8,26
22,10,3
22,11,13
22,13,32
22,16,68
22,22,86
22,23,45
22,25,75
23,1,72
23,2,38
23,3,51
23,4,20
23,5,60
23,6,9
23,7,89
23,8,25
23,10,3
23,11,13
23,13,32
23,16,68
23,22,86
23,23,45
23,25,74
24,1,72
24,2,37
24,3,51
24,4,20
24,5,60
24,6,9
24,7,89
24,8,25
24,10,3
24,11,13
24,13,32
24,16,68
24,22,86
24,23,45
24,25,74
24,26,42
25,1,72
25,2,37
25,3,52
25,4,21
25,5,59
25,6,8
25,7,89
25,8,25
25,10,3
25,11,13
25,13,31
25,16,67
25,22,86
25,23,45
25,26,42
26,1,72
26,2,37
26,3,52
26,4,22
26,5,59
26,6,8
26,7,89
26,8,25
26,11,12
26,13,31
26,16,67
26,22,86
26,23,45
26,26,42
27,1,72
27,2,37
27,3,52
27,4,22
27,5,59
27,6,8
27,7,89
27,8,25
27,11,12
27,13,30
27,16,67
27,22,86
27,23,45
27,26,42
28,1,71
28,2,37
28,3,53
28,4,23
28,5,59
28,6,8
28,7,89
28,8,25
28,11,12
28,13,29
28,16,67
28,22,85
28,23,45
28,26,42
29,1,71
29,2,36
29,3,53
29,4,23
29,5,59
29,6,7
29,7,89
29,8,25
29,11,12
29,13,28
29,16,67
29,22,85
29,23,45
30,1,71
30,2,36
30,3,54
30,4,24
30,5,59
30,6,7
30,7,89
30,8,25
30,11,12
30,13,26
30,16,67
30,22,85
30,23,45
31,1,71
31,2,36
31,3,54
31,4,24
31,5,58
31,6,7
31,7,89
31,8,25
31,11,12
31,13,24
31,16,67
31,22,85
31,23,45
32,1,71
32,2,35
32,3,55
32,4,25
32,5,58
32,6,7
32,7,89
32,8,25
32,11,12
32,13,25
32,16,67
32,22,86
32,23,45
33,1,71
33,2,35
33,3,55
33,4,26
33,5,57
33,6,6
33,7,89
33,8,24
33,11,12
33,13,26
33,16,67
33,22,85
33,23,44
